Ruta,Latencia,Perdida,Jitter,AnchoBanda
52->18->0->96,76.00926963713992,0.0018911284788719618,5.482324348171019,191.39825806115925
52->8->26->5->96,54.67184394729789,0.007020244694735056,4.635326058370969,104.9906452443194
52->8->31->0->4->96,32.595099345668615,0.009488135705706502,8.997522501124422,87.36729559635947
52->18->0->4->96,49.200427030720306,0.00456856482449608,7.148326169594593,191.39825806115925
52->18->7->39->5->96,97.24147504105616,0.00944834773899128,2.799579872320858,191.39825806115925
52->18->0->5->96,75.60181910067071,0.005578090475268027,3.8980187632171095,191.39825806115925
52->19->26->5->96,85.33211317188263,0.005763646220413143,3.3698800742141355,129.61621770616708
52->40->6->0->96,117.81837576897139,0.0065034124565241935,9.482724927965481,329.225065645651
52->18->7->5->96,80.10943367094109,0.007925433960177197,3.3074576583270625,191.39825806115925
52->19->5->96,78.48369407641349,0.005109421166883621,4.774695711559714,237.02158543918435
52->19->22->96,104.0888706151946,0.004882463441068796,6.668926761412449,237.02158543918435
52->19->9->4->96,76.10462171210511,0.007488231717417193,5.373128045900009,237.02158543918435
52->8->41->5->96,70.16844484173127,0.006839461560218307,5.588022128735142,104.9906452443194
52->19->9->0->4->96,63.78270741990531,0.008596878873352032,8.28198638238044,237.02158543918435
52->40->6->5->96,71.88285198784207,0.00651738395184831,7.805829597834694,437.82494266122296
52->19->9->4->5->96,105.86491211490254,0.00823360509585136,4.141683309716964,202.8870475816289
52->19->18->0->96,93.04466038046326,0.004624575965280098,6.921470991165626,237.02158543918435
52->19->18->0->4->96,66.23581777404365,0.007294679812558713,8.587472812589201,237.02158543918435
52->19->45->0->5->96,101.70661237669634,0.009220766557269222,4.134918756548508,195.05988310345836
52->18->0->13->5->96,72.8039050971172,0.008396794084750137,6.181263242014537,132.02530363108585
52->8->20->5->96,56.784121209899666,0.006903182338538816,6.701224152072496,104.9906452443194
52->8->71->5->96,55.96905905010976,0.007003117146747728,5.1201135864508815,104.9906452443194
52->19->18->7->5->96,97.14482441426442,0.010642355737195741,4.74660430132167,237.02158543918435
52->19->45->0->4->96,75.30522030674594,0.008214938909233305,7.385226162925992,195.05988310345836
52->40->24->7->3->0->96,126.86134130128086,0.006366040224665581,14.256351135371848,508.4479901465887
52->18->50->55->5->96,115.51562361105816,0.008203548991230991,3.0303458827448297,191.39825806115925
52->8->35->0->4->96,39.90176115582595,0.01242450079003643,9.318790641110626,104.9906452443194
52->19->18->50->55->5->96,132.55101435438152,0.010919709115032816,4.469492525739437,237.02158543918435
52->19->60->33->54->0->96,154.38727453181798,0.004392403587690774,10.814252083390645,237.02158543918435
52->19->60->33->54->18->0->96,145.69595689863345,0.003980070777318323,12.042140286812817,237.02158543918435
52->40->68->37->27->8->3->0->96,223.59149229311316,0.009539391470506309,13.843144049123008,487.2560359772219
52->19->18->7->39->5->96,114.2768657843795,0.0121610988238543,4.238726515315466,237.02158543918435
52->40->6->18->0->96,114.50149034138985,0.005852556615703941,13.434624384500104,444.7787074988309
