Solucion,Ruta,Saltos,Latencia,Perdida,Jitter,AnchoBanda
1,52->18->0->4->96,4,49.200427030720306,0.00456856482449608,7.148326169594593,191.39825806115925
2,52->8->31->0->4->96,5,32.595099345668615,0.009488135705706502,8.997522501124422,87.36729559635947
3,52->18->0->96,3,76.00926963713992,0.0018911284788719618,5.482324348171019,191.39825806115925
4,52->19->22->96,3,104.0888706151946,0.004882463441068796,6.668926761412449,237.02158543918435
5,52->18->0->5->96,4,75.60181910067071,0.005578090475268027,3.8980187632171095,191.39825806115925
6,52->18->7->5->96,4,80.10943367094109,0.007925433960177197,3.3074576583270625,191.39825806115925
7,52->19->9->4->96,4,76.10462171210511,0.007488231717417193,5.373128045900009,237.02158543918435
8,52->19->5->96,3,78.48369407641349,0.005109421166883621,4.774695711559714,237.02158543918435
9,52->8->26->5->96,4,54.67184394729789,0.007020244694735056,4.635326058370969,104.9906452443194
10,52->8->41->5->96,4,70.16844484173127,0.006839461560218307,5.588022128735142,104.9906452443194
11,52->19->45->0->4->96,5,75.30522030674594,0.008214938909233305,7.385226162925992,195.05988310345836
12,52->8->71->5->96,4,55.96905905010976,0.007003117146747728,5.1201135864508815,104.9906452443194
13,52->19->18->0->4->96,5,66.23581777404365,0.007294679812558713,8.587472812589201,237.02158543918435
14,52->19->26->5->96,4,85.33211317188263,0.005763646220413143,3.3698800742141355,129.61621770616708
15,52->19->18->0->96,4,93.04466038046326,0.004624575965280098,6.921470991165626,237.02158543918435
16,52->40->24->22->19->18->0->96,7,129.84967903920108,0.009246482842488968,13.48844256489415,461.04803269298617
17,52->18->7->39->5->96,5,97.24147504105616,0.00944834773899128,2.799579872320858,191.39825806115925
18,52->19->9->0->4->96,5,63.78270741990531,0.008596878873352032,8.28198638238044,237.02158543918435
19,52->40->6->5->96,4,71.88285198784207,0.00651738395184831,7.805829597834694,437.82494266122296
20,52->19->9->4->5->96,5,105.86491211490254,0.00823360509585136,4.141683309716964,202.8870475816289
