Solucion,Ruta,Saltos,LatenciaABC,LatenciaRecalculado,DiferenciaLatencia,PerdidaABC,PerdidaRecalculado,DiferenciaPerdida,JitterABC,JitterRecalculado,DiferenciaJitter,AnchoBandaABC,AnchoBandaRecalculado,DiferenciaAnchoBanda
1,52->18->0->96,3,76.00926963713992,76.00926963713992,0.0,0.0018911284788719618,0.0018911284788719618,0.0,5.482324348171019,5.482324348171019,0.0,191.39825806115925,191.39825806115925,0.0
2,52->8->26->5->96,4,54.67184394729789,54.67184394729789,0.0,0.007020244694735056,0.007020244694735056,0.0,4.635326058370969,4.635326058370969,0.0,104.9906452443194,104.9906452443194,0.0
3,52->8->31->0->4->96,5,32.595099345668615,32.595099345668615,0.0,0.009488135705706502,0.009488135705706502,0.0,8.997522501124422,8.997522501124422,0.0,87.36729559635947,87.36729559635947,0.0
4,52->18->0->4->96,4,49.200427030720306,49.200427030720306,0.0,0.00456856482449608,0.00456856482449608,0.0,7.148326169594593,7.148326169594593,0.0,191.39825806115925,191.39825806115925,0.0
5,52->18->7->39->5->96,5,97.24147504105616,97.24147504105616,0.0,0.00944834773899128,0.00944834773899128,0.0,2.799579872320858,2.799579872320858,0.0,191.39825806115925,191.39825806115925,0.0
6,52->18->0->5->96,4,75.60181910067071,75.60181910067071,0.0,0.005578090475268027,0.005578090475268027,0.0,3.8980187632171095,3.8980187632171095,0.0,191.39825806115925,191.39825806115925,0.0
7,52->19->26->5->96,4,85.33211317188263,85.33211317188263,0.0,0.005763646220413143,0.005763646220413143,0.0,3.3698800742141355,3.3698800742141355,0.0,129.61621770616708,129.61621770616708,0.0
8,52->40->6->0->96,4,117.81837576897139,117.81837576897139,0.0,0.0065034124565241935,0.0065034124565241935,0.0,9.482724927965481,9.482724927965481,0.0,329.225065645651,329.225065645651,0.0
9,52->18->7->5->96,4,80.10943367094109,80.10943367094109,0.0,0.007925433960177197,0.007925433960177197,0.0,3.3074576583270625,3.3074576583270625,0.0,191.39825806115925,191.39825806115925,0.0
10,52->19->5->96,3,78.48369407641349,78.48369407641349,0.0,0.005109421166883621,0.005109421166883621,0.0,4.774695711559714,4.774695711559714,0.0,237.02158543918435,237.02158543918435,0.0
11,52->19->22->96,3,104.0888706151946,104.0888706151946,0.0,0.004882463441068796,0.004882463441068796,0.0,6.668926761412449,6.668926761412449,0.0,237.02158543918435,237.02158543918435,0.0
12,52->19->9->4->96,4,76.10462171210511,76.10462171210511,0.0,0.007488231717417193,0.007488231717417193,0.0,5.373128045900009,5.373128045900009,0.0,237.02158543918435,237.02158543918435,0.0
13,52->8->41->5->96,4,70.16844484173127,70.16844484173127,0.0,0.006839461560218307,0.006839461560218307,0.0,5.588022128735142,5.588022128735142,0.0,104.9906452443194,104.9906452443194,0.0
14,52->19->9->0->4->96,5,63.78270741990531,63.78270741990531,0.0,0.008596878873352032,0.008596878873352032,0.0,8.28198638238044,8.28198638238044,0.0,237.02158543918435,237.02158543918435,0.0
15,52->40->6->5->96,4,71.88285198784207,71.88285198784207,0.0,0.00651738395184831,0.00651738395184831,0.0,7.805829597834694,7.805829597834694,0.0,437.82494266122296,437.82494266122296,0.0
16,52->19->9->4->5->96,5,105.86491211490254,105.86491211490254,0.0,0.00823360509585136,0.00823360509585136,0.0,4.141683309716964,4.141683309716964,0.0,202.8870475816289,202.8870475816289,0.0
17,52->19->18->0->96,4,93.04466038046326,93.04466038046326,0.0,0.004624575965280098,0.004624575965280098,0.0,6.921470991165626,6.921470991165626,0.0,237.02158543918435,237.02158543918435,0.0
18,52->19->18->0->4->96,5,66.23581777404365,66.23581777404365,0.0,0.007294679812558713,0.007294679812558713,0.0,8.587472812589201,8.587472812589201,0.0,237.02158543918435,237.02158543918435,0.0
19,52->19->45->0->5->96,5,101.70661237669634,101.70661237669634,0.0,0.009220766557269222,0.009220766557269222,0.0,4.134918756548508,4.134918756548508,0.0,195.05988310345836,195.05988310345836,0.0
20,52->18->0->13->5->96,5,72.8039050971172,72.8039050971172,0.0,0.008396794084750137,0.008396794084750137,0.0,6.181263242014537,6.181263242014537,0.0,132.02530363108585,132.02530363108585,0.0
21,52->8->20->5->96,4,56.784121209899666,56.784121209899666,0.0,0.006903182338538816,0.006903182338538816,0.0,6.701224152072496,6.701224152072496,0.0,104.9906452443194,104.9906452443194,0.0
22,52->8->71->5->96,4,55.96905905010976,55.96905905010976,0.0,0.007003117146747728,0.007003117146747728,0.0,5.1201135864508815,5.1201135864508815,0.0,104.9906452443194,104.9906452443194,0.0
23,52->19->18->7->5->96,5,97.14482441426442,97.14482441426442,0.0,0.010642355737195741,0.010642355737195741,0.0,4.74660430132167,4.74660430132167,0.0,237.02158543918435,237.02158543918435,0.0
24,52->19->45->0->4->96,5,75.30522030674594,75.30522030674594,0.0,0.008214938909233305,0.008214938909233305,0.0,7.385226162925992,7.385226162925992,0.0,195.05988310345836,195.05988310345836,0.0
25,52->40->24->7->3->0->96,6,126.86134130128086,126.86134130128086,0.0,0.006366040224665581,0.006366040224665581,0.0,14.256351135371848,14.256351135371848,0.0,508.4479901465887,508.4479901465887,0.0
26,52->18->50->55->5->96,5,115.51562361105816,115.51562361105816,0.0,0.008203548991230991,0.008203548991230991,0.0,3.0303458827448297,3.0303458827448297,0.0,191.39825806115925,191.39825806115925,0.0
27,52->8->35->0->4->96,5,39.90176115582595,39.90176115582595,0.0,0.01242450079003643,0.01242450079003643,0.0,9.318790641110626,9.318790641110626,0.0,104.9906452443194,104.9906452443194,0.0
28,52->19->18->50->55->5->96,6,132.55101435438152,132.55101435438152,0.0,0.010919709115032816,0.010919709115032816,0.0,4.469492525739437,4.469492525739437,0.0,237.02158543918435,237.02158543918435,0.0
29,52->19->60->33->54->0->96,6,154.38727453181798,154.38727453181798,0.0,0.004392403587690774,0.004392403587690774,0.0,10.814252083390645,10.814252083390645,0.0,237.02158543918435,237.02158543918435,0.0
30,52->19->60->33->54->18->0->96,7,145.69595689863345,145.69595689863345,0.0,0.003980070777318323,0.003980070777318323,0.0,12.042140286812817,12.042140286812817,0.0,237.02158543918435,237.02158543918435,0.0
