Origen,Destino,AnchoBanda,Latencia,jitter,PaquetesPerdidos
0,1,19.868881727119426,86.5354929917679,11.651768013974433,0.005224387839511908
0,2,161.10766203541536,36.84331652004127,6.190416822653745,0.005586270341372081
0,3,56.278707057030985,73.55805895818932,8.843141630562227,0.008242610381528015
0,4,188.1268014669207,62.42564229863061,8.254676249650018,0.008045830390251254
0,5,99.24080712327012,45.86218680585818,5.6409252404414145,0.0073433236213933
0,6,122.69546413667726,81.92837713914923,8.67934210018311,0.006192382739900618
0,7,145.1019627727701,48.8794760483278,5.5766907492499405,0.008934643623846708
0,8,92.74217668540423,30.346137113531267,3.459445969171468,0.00446626511764019
0,9,101.59605441681498,87.18800588160066,11.595646714773071,0.008382793427308952
0,10,166.07826102004677,58.670184710963056,7.655258854151122,0.000543172109674973
0,14,87.10758938623844,32.50159895532621,6.863237723131434,0.0019001011816128495
0,16,82.67283969187781,10.36771094020202,4.304236420374768,0.005561018335723512
0,19,171.21424572943923,64.48956333395762,11.373153288970519,0.000731675083923623
0,21,149.711056710053,2.0345050420052946,0.4508654931967746,0.006918902082832622
0,28,115.40068280819165,13.910413217416306,1.8449072894526497,0.009564241853027008
0,31,110.27668497464403,12.18573318127466,5.749541513823538,0.006277559668915967
0,37,162.99737674838997,69.98429933581055,7.212996344369816,0.005757358130254715
0,39,82.53827905040079,50.0378221897153,6.856360313398563,0.00839938015841918
0,41,46.466091892440794,14.231623130515146,1.9228400001050905,0.0019997767411539654
0,54,185.96792672314047,24.90163133031794,5.115583103941809,0.0022002602260991965
0,65,187.7090996623917,48.53082011092699,7.280364254074868,0.006450583475043207
0,76,77.96221252632287,100.59904712169012,10.793110172990456,0.004772578240841636
1,0,86.00904998883156,9.129379739221793,4.625333017619316,0.006007123281111481
1,6,38.448540654083196,8.842520394785305,5.364918822798772,0.00781211876928233
1,7,11.335271439923714,60.415266673844265,10.998065821641715,0.009085196531583673
1,8,81.82788043863958,27.567847478745996,6.000540714679509,0.007847824969990752
1,12,67.59626382043194,40.88228040103352,9.085940182703663,0.0011837516460251666
1,14,91.48089621289778,36.46815264590378,5.8417332734433405,0.003954880406948507
1,22,99.34974241111347,75.81197793220021,10.910749638173161,0.009666527128506174
1,26,170.68835954283898,74.71444094084848,11.80752430102451,0.008949961768904006
1,28,54.66982661695431,10.841234059649477,2.1010116115367703,0.004400810588410946
