Iteracion,MejorFitness
1,3.0117432452922808
2,3.0117432452922808
3,2.9275939694801183
4,2.9275939694801183
5,2.9275939694801183
6,2.9275939694801183
7,2.9275939694801183
8,2.9275939694801183
9,2.9275939694801183
10,2.9275939694801183
11,2.9275939694801183
12,2.9275939694801183
13,2.9275939694801183
14,2.9275939694801183
15,2.9275939694801183
16,2.9275939694801183
17,2.9275939694801183
18,2.9275939694801183
19,2.9275939694801183
20,2.9275939694801183
21,2.9275939694801183
22,2.9275939694801183
23,2.9275939694801183
24,2.9275939694801183
25,2.9275939694801183
26,2.9275939694801183
27,2.9275939694801183
28,2.9275939694801183
29,2.9275939694801183
30,2.9275939694801183
31,2.9275939694801183
32,2.9275939694801183
33,2.9275939694801183
34,2.9275939694801183
35,2.9275939694801183
36,2.9275939694801183
37,2.9275939694801183
38,2.9275939694801183
39,2.9275939694801183
40,2.9275939694801183
41,2.9275939694801183
42,2.9275939694801183
43,2.9275939694801183
44,2.9275939694801183
45,2.9275939694801183
46,2.9275939694801183
47,2.9275939694801183
48,2.9275939694801183
49,2.9275939694801183
50,2.9275939694801183
51,2.9275939694801183
52,2.9275939694801183
53,2.9275939694801183
54,2.9275939694801183
55,2.9275939694801183
56,2.9275939694801183
57,2.9275939694801183
58,2.9275939694801183
59,2.9275939694801183
60,2.9275939694801183
61,2.9275939694801183
62,2.9275939694801183
63,2.9275939694801183
64,2.9275939694801183
65,2.9275939694801183
66,2.9275939694801183
67,2.9275939694801183
68,2.9275939694801183
69,2.9275939694801183
70,2.9275939694801183
71,2.9275939694801183
72,2.9275939694801183
73,2.9275939694801183
74,2.9275939694801183
75,2.9275939694801183
76,2.9275939694801183
77,2.9275939694801183
78,2.9275939694801183
79,2.9275939694801183
80,2.9275939694801183
81,2.9275939694801183
82,2.9275939694801183
83,2.9275939694801183
84,2.9275939694801183
85,2.9275939694801183
86,2.9275939694801183
87,2.9275939694801183
88,2.9275939694801183
89,2.9275939694801183
90,2.9275939694801183
91,2.9275939694801183
92,2.9275939694801183
93,2.9275939694801183
94,2.9275939694801183
95,2.9275939694801183
96,2.9275939694801183
97,2.9275939694801183
98,2.9275939694801183
99,2.9275939694801183
100,2.9275939694801183
