Ruta,Saltos,Latencia,Perdida,Jitter,AnchoBanda
52->19->22->96,3,104.0888706151946,0.004882463441068796,6.668926761412449,237.02158543918435
52->19->5->96,3,78.48369407641349,0.005109421166883621,4.774695711559714,237.02158543918435
52->8->26->5->96,4,54.67184394729789,0.007020244694735056,4.635326058370969,104.9906452443194
52->8->20->5->96,4,56.784121209899666,0.006903182338538816,6.701224152072496,104.9906452443194
52->19->26->5->96,4,85.33211317188263,0.005763646220413143,3.3698800742141355,129.61621770616708
52->8->41->5->96,4,70.16844484173127,0.006839461560218307,5.588022128735142,104.9906452443194
52->18->0->96,3,76.00926963713992,0.0018911284788719618,5.482324348171019,191.39825806115925
52->18->7->5->96,4,80.10943367094109,0.007925433960177197,3.3074576583270625,191.39825806115925
52->8->71->5->96,4,55.96905905010976,0.007003117146747728,5.1201135864508815,104.9906452443194
52->18->0->4->96,4,49.200427030720306,0.00456856482449608,7.148326169594593,191.39825806115925
52->8->41->0->4->96,5,45.220932391797305,0.011346848107512741,10.420705252387588,104.9906452443194
52->8->35->0->4->96,5,39.90176115582595,0.01242450079003643,9.318790641110626,104.9906452443194
