Par,Origen,Destino,SaltosMinimos,Seed,Estado,TiempoSegundos,TamanoPareto,PoblacionUnica,DiversidadPoblacion,DiversidadFrente,MejorLatencia,MejorPerdida,MejorJitter,MejorAnchoBanda,GapLatencia,GapPerdida,GapJitter,GapAnchoBanda,OptimoLatencia,OptimoPerdida,OptimoJitter,OptimoAnchoBanda,OptimosAlcanzados,TodosOptimos
P01,52,96,3,1,OK,60.33546999999089,32,30,0.9210274926440026,0.8957128668822217,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P01,52,96,3,2,OK,61.16836670000339,31,30,0.9271133847556078,0.8926958525345622,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P01,52,96,3,3,OK,60.08046770002693,35,30,0.9292739884665632,0.8951120075069656,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P01,52,96,3,4,OK,59.348172099969815,34,30,0.9248559362656725,0.8949331615107016,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P01,52,96,3,5,OK,108.75169410003582,32,30,0.9300157983778673,0.8942993442489411,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P01,52,96,3,6,OK,118.15604049997637,33,30,0.9362766296229038,0.8930076604792513,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P01,52,96,3,7,OK,392.9971970000188,34,30,0.9339679497854473,0.891818876310855,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P01,52,96,3,8,OK,100.70790919999126,35,30,0.9294197389639323,0.8991806839285831,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P01,52,96,3,9,OK,250.4432705999934,34,30,0.9262587699656667,0.8960905206894512,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P01,52,96,3,10,OK,59.629245599964634,35,30,0.9199483466724846,0.8968443741132817,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P02,7,59,2,1,OK,46.389266600017436,30,30,0.9599570051603662,0.8880706075533662,28.59423312064716,0.0013826615430425626,2.3370927579475644,546.6573907570638,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P02,7,59,2,2,OK,46.60823700000765,26,30,0.9528618628103411,0.8894017094017094,28.59423312064716,0.0013826615430425626,2.3370927579475644,546.6573907570638,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P02,7,59,2,3,OK,47.27137410000432,28,30,0.9584281768203887,0.8910588309397833,28.59423312064716,0.0013826615430425626,2.3370927579475644,546.6573907570638,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P02,7,59,2,4,OK,47.69067040004302,27,30,0.9628777937985099,0.8923167367611812,28.59423312064716,0.0013826615430425626,2.3370927579475644,546.6573907570638,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P02,7,59,2,5,OK,46.6169773999718,29,30,0.9550751210945038,0.888585894127766,28.59423312064716,0.0013826615430425626,2.3370927579475644,546.6573907570638,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P02,7,59,2,6,OK,47.90319100004854,24,30,0.939864554347313,0.8927694386933518,28.59423312064716,0.0013826615430425626,2.3370927579475644,526.3013755645835,0.0,0.0,0.0,3.72372450032905,True,True,True,False,3,False
P02,7,59,2,7,OK,46.983273899997585,29,30,0.9457775253707466,0.8889279849870982,28.59423312064716,0.0013826615430425626,2.3370927579475644,546.6573907570638,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P02,7,59,2,8,OK,46.441768100019544,29,30,0.9609759242418009,0.889438189068731,28.59423312064716,0.0013826615430425626,2.3370927579475644,546.6573907570638,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P02,7,59,2,9,OK,48.29511500004446,29,30,0.9127064825340687,0.8889279849870984,28.59423312064716,0.0013826615430425626,2.3370927579475644,546.6573907570638,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P02,7,59,2,10,OK,46.61464220000198,29,30,0.9549381399985872,0.8889279849870984,28.59423312064716,0.0013826615430425626,2.3370927579475644,546.6573907570638,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P03,81,25,4,1,OK,35.61995750002097,45,30,0.9433849912549627,0.9178013176498026,69.80889938663184,0.0032249702843278882,2.2200570917660705,385.48922109853135,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P03,81,25,4,2,OK,34.53617860004306,43,30,0.952491502887917,0.9162731171867385,69.80889938663184,0.0032249702843278882,2.2200570917660705,385.48922109853135,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P03,81,25,4,3,OK,35.363847200002056,46,30,0.9537437784519787,0.915099023359893,69.80889938663184,0.0032249702843278882,2.2200570917660705,385.48922109853135,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P03,81,25,4,4,OK,35.82594670000253,45,30,0.9444736863139234,0.9168300610724853,69.80889938663184,0.0032249702843278882,2.2200570917660705,385.48922109853135,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P03,81,25,4,5,OK,35.30474739999045,45,30,0.9627576826857327,0.9164948911918609,69.80889938663184,0.0032249702843278882,2.2200570917660705,385.48922109853135,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P03,81,25,4,6,OK,35.593602399982046,44,30,0.9533660389859124,0.9176544591185184,69.80889938663184,0.0032249702843278882,2.2200570917660705,385.48922109853135,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P03,81,25,4,7,OK,34.76250650000293,44,30,0.947647335914837,0.91666693360668,69.80889938663184,0.0032249702843278882,2.2200570917660705,385.48922109853135,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P03,81,25,4,8,OK,35.08590860001277,43,30,0.9538352003400683,0.9124877552618416,69.80889938663184,0.0032797806480862057,2.2200570917660705,385.48922109853135,0.0,1.6995618230863934,0.0,0.0,True,False,True,True,3,False
P03,81,25,4,9,OK,35.897301899967715,42,30,0.9528080075444882,0.917241688496044,69.80889938663184,0.0032249702843278882,2.2200570917660705,385.48922109853135,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P03,81,25,4,10,OK,35.02671880001435,45,30,0.9501453886670606,0.9172678079496261,69.80889938663184,0.0032249702843278882,2.2200570917660705,385.48922109853135,0.0,0.0,0.0,0.0,True,True,True,True,4,True
P04,22,92,2,1,OK,55.25038169999607,23,30,0.9485598431614256,0.8685854878542625,32.744690824397125,0.003673527410583022,3.5937157683551857,526.3013755645835,0.0,0.0,0.0,3.0184538049282263,True,True,True,False,3,False
